
[2020-01-11 14:24:08:221] [info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/src/cmd/cmd_controller.js:145:27)] [info]:  [1m[33mWelcome to Embark 5.0.0[39m[22m
[2020-01-11 14:24:08:222] [info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/src/cmd/cmd_controller.js:146:27)] [info]:  [32m[1m========================[22m[39m
[2020-01-11 14:24:08:226] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: Embark
[2020-01-11 14:24:10:322] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: Webserver
[2020-01-11 14:24:11:138] [ServicesMonitor.trace [as startMonitor] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:87:17)] [trace]:  startMonitor
[2020-01-11 14:24:11:184] [Function.info (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-api/src/index.ts:48:28)] [info]:  Cockpit UI available at http://localhost:55555
[2020-01-11 14:24:11:185] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: api
[2020-01-11 14:24:11:192] [BlockchainProcessLauncher.info [as startBlockchainNode] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-geth/src/blockchainProcessLauncher.js:26:17)] [info]:  [36mStarting Blockchain node in another process[39m
[2020-01-11 14:24:11:210] [ServicesMonitor.trace [as addCheck] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-core/src/services_monitor.ts:69:17)] [trace]:  add check: Ethereum
[2020-01-11 14:24:11:895] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:24:11:896] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:24:11:897] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35mEmbark Blockchain using [4mGo-Ethereum (https://github.com/ethereum/go-ethereum)[24m[39m
[2020-01-11 14:24:11:897] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:24:11:898] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [35m===============================================================================[39m
[2020-01-11 14:24:11:899] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [info]:  [32mrunning: [4mgeth version[24m[39m
[2020-01-11 14:24:11:997] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [warning]:  WARNING! Ethereum client version unsupported, for best results please use a version in range >=1.9.7
[2020-01-11 14:24:12:115] [debug (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:96:19)] [debug]:  Creating Geth dev account. Please wait...
[2020-01-11 14:24:22:116] [call.message (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-utils/src/logHandler.js:94:16)] [error]:  Geth dev command never returned a developer account
[2020-01-11 14:24:22:121] [BlockchainProcessLauncher.error [as processEnded] (/home/st/.nvm/versions/node/v10.17.0/lib/node_modules/embark/node_modules/embark-geth/src/blockchainProcessLauncher.js:22:17)] [error]:  Blockchain process ended before the end of this process. Try running blockchain in a separate process using `$ embark blockchain`. Code: 1
